Actual,Prediction,Team,Season,SUBSET
0.0,-2.43013955511698,Bulls,2001,TRAIN
0.0,-1.4187965482548575,Grizzlies,2001,TRAIN
0.0,-1.1629995864928993,Warriors,2001,TRAIN
0.0,-0.42029201062698573,Hawks,2001,TRAIN
11.0,0.11135071078673493,Nets,2001,TRAIN
0.0,0.19733277738720212,Wizards,2001,TRAIN
0.0,1.367652420769084,Clippers,2001,TRAIN
0.0,1.5495479374554406,Rockets,2001,TRAIN
2.0,1.623945746188587,Thunder,2001,TRAIN
0.0,1.672331725672871,Cavaliers,2001,TRAIN
0.0,2.0175437707745156,Nuggets,2001,TRAIN
9.0,2.314356479262783,Celtics,2001,TRAIN
4.0,2.3828004753933594,Pistons,2001,TRAIN
2.0,2.4206413712729695,Pacers,2001,TRAIN
2.0,2.537531331126915,Raptors,2001,TRAIN
0.0,2.6024462102031096,Suns,2001,TRAIN
0.0,3.071808820405267,Heat,2001,TRAIN
4.0,3.5126462392576854,Mavericks,2001,TRAIN
0.0,3.779110453042046,Bucks,2001,TRAIN
1.0,4.0504752016402295,Magic,2001,TRAIN
0.0,4.10031886718711,Timberwolves,2001,TRAIN
2.0,4.182915311438854,76ers,2001,TRAIN
10.0,4.238375659776088,Kings,2001,TRAIN
0.0,4.973918176911855,Trail Blazers,2001,TRAIN
1.0,5.038892993370547,Jazz,2001,TRAIN
4.0,5.40525145360531,Hornets,2001,TRAIN
4.0,6.2470767955057385,Spurs,2001,TRAIN
0.0,6.816048024625054,Knicks,2001,TRAIN
15.0,6.923828027906978,Lakers,2001,TRAIN
0.0,-1.1632596887295796,Warriors,2002,TRAIN
0.0,-1.0798693856037571,Nuggets,2002,TRAIN
0.0,-0.6964922310678071,Grizzlies,2002,TRAIN
0.0,0.13356791431994167,Rockets,2002,TRAIN
0.0,0.19503334406209766,Bulls,2002,TRAIN
0.0,0.7007881165480875,Cavaliers,2002,TRAIN
0.0,1.222407185378688,Hawks,2002,TRAIN
0.0,1.7185991515399872,Thunder,2002,TRAIN
2.0,1.810944508262379,Suns,2002,TRAIN
0.0,1.8143669172128012,Wizards,2002,TRAIN
0.0,1.8702031041522893,Clippers,2002,TRAIN
0.0,2.068930660653423,Heat,2002,TRAIN
0.0,2.244166411860541,Knicks,2002,TRAIN
0.0,2.7029427894087776,Raptors,2002,TRAIN
14.0,3.1186883290451908,Nets,2002,TRAIN
2.0,3.2299483788271495,Bucks,2002,TRAIN
3.0,3.2600952477560097,Magic,2002,TRAIN
1.0,3.4906508532384244,Jazz,2002,TRAIN
6.0,3.502826667944797,76ers,2002,TRAIN
4.0,3.541632956900322,Celtics,2002,TRAIN
8.0,3.786841187098638,Pistons,2002,TRAIN
2.0,4.11019299608095,Pacers,2002,TRAIN
2.0,4.4303276527228315,Timberwolves,2002,TRAIN
3.0,4.633532453884672,Trail Blazers,2002,TRAIN
10.0,4.859513080836075,Mavericks,2002,TRAIN
7.0,5.138654357459644,Kings,2002,TRAIN
6.0,5.610018155639071,Lakers,2002,TRAIN
16.0,5.68178167941676,Spurs,2002,TRAIN
1.0,-1.626293049233166,Nuggets,2003,TRAIN
0.0,-0.402343927778774,Cavaliers,2003,TRAIN
0.0,-0.01990082012331095,Clippers,2003,TRAIN
0.0,0.2150788608728553,Grizzlies,2003,TRAIN
0.0,0.49035166941843483,Wizards,2003,TRAIN
0.0,0.5318922667942859,Bulls,2003,TRAIN
6.0,0.9541441379568187,Heat,2003,TRAIN
0.0,0.9642117743400725,Thunder,2003,TRAIN
0.0,1.195805864822195,Raptors,2003,TRAIN
0.0,1.3792472818486832,Hawks,2003,TRAIN
0.0,1.7231307546093524,Jazz,2003,TRAIN
1.0,1.7260429295122641,Bucks,2003,TRAIN
0.0,1.8218201541847838,Trail Blazers,2003,TRAIN
0.0,1.8866130440652729,Magic,2003,TRAIN
0.0,1.9456051391742004,Suns,2003,TRAIN
0.0,2.7167155884626553,76ers,2003,TRAIN
0.0,2.832500841140761,Celtics,2003,TRAIN
0.0,3.154798515615553,Warriors,2003,TRAIN
10.0,3.2550351718212562,Pacers,2003,TRAIN
0.0,3.7237684039780237,Knicks,2003,TRAIN
7.0,3.7613109355633436,Nets,2003,TRAIN
16.0,4.099808883343051,Pistons,2003,TRAIN
6.0,4.758936915860985,Spurs,2003,TRAIN
3.0,5.477192413563375,Pelicans,2003,TRAIN
1.0,5.696998126764994,Rockets,2003,TRAIN
10.0,5.8009921891012155,Timberwolves,2003,TRAIN
7.0,6.66252393400748,Kings,2003,TRAIN
1.0,6.704445179637338,Mavericks,2003,TRAIN
13.0,7.690686690255243,Lakers,2003,TRAIN
4.0,-1.038945655410085,Wizards,2004,TRAIN
0.0,-0.43913472113139235,Clippers,2004,TRAIN
2.0,0.02476857672771442,Bulls,2004,TRAIN
0.0,0.31327723469276486,Magic,2004,TRAIN
0.0,0.4316099292104886,Hawks,2004,TRAIN
0.0,1.2022557153901663,Jazz,2004,TRAIN
1.0,1.5822486125420718,Nuggets,2004,TRAIN
1.0,1.6055229773178954,76ers,2004,TRAIN
0.0,1.7122878721584331,Bucks,2004,TRAIN
0.0,1.8836644824106965,Raptors,2004,TRAIN
0.0,2.0167810790226044,Warriors,2004,TRAIN
0.0,2.1256310993285594,Grizzlies,2004,TRAIN
0.0,2.127274249573873,Cavaliers,2004,TRAIN
6.0,2.153269025504388,Thunder,2004,TRAIN
3.0,2.2248541407456566,Celtics,2004,TRAIN
